# Server version 0.08 running on afs-macbook-pro.fios-router.home:8123
# Game ID: 337
# Board class: pentago_twist.PentagoBoard
# Timeout: 20000
# First Move Timeout: 30000
# Date: Tue Apr 13 17:13:09 EDT 2021
# Player 1: Player-0, 'Random Non-Stupid Benchmark', running on localhost
# Player 2: Player-1, '260705446', running on localhost
START Player-0 Random Non-Stupid Benchmark
START Player-1 260705446
4 0 2 0 0
0 0 0 0 1
1 4 3 1 0
0 0 0 0 1
2 1 2 1 0
0 0 0 0 1
0 0 3 0 0
0 1 0 0 1
4 5 3 1 0
0 3 0 0 1
0 1 0 0 0
0 1 0 0 1
0 4 3 1 0
0 5 0 0 1
3 3 0 0 0
1 1 0 0 1
2 5 3 0 0
1 3 0 0 1
5 0 0 1 0
1 5 0 0 1
4 2 0 0 0
2 3 0 0 1
3 0 0 0 0
2 4 0 0 1
4 0 0 0 0
GAMEOVER WINNER 0
# Game ended: Tue Apr 13 17:13:17 EDT 2021
