# Server version 0.08 running on afs-macbook-pro.fios-router.home:8123
# Game ID: 496
# Board class: pentago_twist.PentagoBoard
# Timeout: 20000
# First Move Timeout: 30000
# Date: Tue Apr 13 23:21:22 EDT 2021
# Player 1: Player-0, '260705446', running on localhost
# Player 2: Player-1, 'Stupid Random Player', running on localhost
START Player-0 260705446
START Player-1 Stupid Random Player
0 1 3 0 0
4 4 2 0 1
0 2 3 0 0
1 1 1 0 1
0 3 3 0 0
1 5 1 1 1
0 3 3 0 0
1 5 2 1 1
0 4 3 0 0
GAMEOVER WINNER 0
# Game ended: Tue Apr 13 23:21:22 EDT 2021
